run_id,created_at,dataset_name,dataset_hash,n_objects,n_attributes,params_json,runtime_sec,status,error_msg
72216d6f-093a-48f8-ad6f-e4b520b5dfa3,2026-02-28T15:20:46,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 0, ""n_iter"": 25, ""step"": 0.4}",6.732664200000727,success,
b8a8b89e-d321-4de2-bdba-1a66346408ed,2026-02-28T15:20:03,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 9, ""n_iter"": 25, ""step"": 0.4}",6.003832899999907,success,
3bb2805f-86c9-41d6-aded-b2b957ad6c2f,2026-02-28T15:19:56,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 8, ""n_iter"": 25, ""step"": 0.4}",6.241391499999736,success,
046f124f-f74d-49e1-9329-6b3557442c43,2026-02-28T15:19:50,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 7, ""n_iter"": 25, ""step"": 0.4}",6.075958499999615,success,
8fbb9a1d-1704-4dc6-9703-eb1f84279b55,2026-02-28T15:19:44,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 6, ""n_iter"": 25, ""step"": 0.4}",6.257627900000443,success,
5e133a46-93a5-456a-97af-d7164ddf4d01,2026-02-28T15:19:38,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 5, ""n_iter"": 25, ""step"": 0.4}",5.962040000000343,success,
eb3a2760-51d1-4164-a717-d1e8ca4e7a7b,2026-02-28T15:19:32,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 4, ""n_iter"": 25, ""step"": 0.4}",6.2112338000006275,success,
693f82ed-d572-4f34-a4e2-2b216e44a629,2026-02-28T15:19:26,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 3, ""n_iter"": 25, ""step"": 0.4}",6.271626100000503,success,
4dd12599-947e-427b-82de-923c4f8a42c2,2026-02-28T15:19:19,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 2, ""n_iter"": 25, ""step"": 0.4}",6.1453062999989925,success,
9b1b12ad-1168-42e6-b2cf-6886ebf23356,2026-02-28T15:19:13,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 1, ""n_iter"": 25, ""step"": 0.4}",5.970259199999418,success,
c95bc52f-8e9c-4de0-a1f1-4b52ad49aa9e,2026-02-28T15:19:07,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 0, ""n_iter"": 25, ""step"": 0.4}",6.556827700000213,success,
6c967ee5-71cb-4def-8f61-2781e5072db4,2026-02-28T15:16:47,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,500,12,"{""n_iter"": 25, ""step"": 0.4}",6.841784899999766,success,
